Species,D,H,W,U,H/D,W/D,U/D,W/H
cleoniceras,62.0,10.0,15.0,14.0,0.16,0.24,0.23,1.5
Cleoniceras,120.0,33.0,56.0,26.0,0.28,0.47,0.22,1.7
